time_step,ax_g,ay_g,az_g
0,-0.0061,-0.0546,0.9880
1,0.2330,0.0390,1.0624
2,0.1792,-0.0123,0.9796
3,0.2976,-0.0117,0.9469
4,0.4074,-0.0479,0.9881
5,0.4882,0.0603,1.0497
6,0.4910,-0.0387,1.0534
7,0.5058,-0.0314,1.0314
8,0.5275,-0.0033,1.0086
9,0.5123,-0.0744,1.0413
10,0.3558,-0.0110,1.0761
11,0.3714,-0.0220,1.0671
12,0.3624,0.0153,0.8832
13,0.2488,-0.0971,1.0103
14,0.1775,0.0211,0.9376
15,0.0058,-0.0147,1.0754
16,-0.0511,0.0401,0.9605
17,-0.1290,-0.0125,1.0051
18,-0.2333,-0.0858,0.9679
19,-0.2875,-0.0146,1.0412
