time_step,raw_x,raw_y,raw_z,smooth_x,smooth_y,smooth_z,is_outlier,norm_x,norm_y,norm_z
0,-0.0061,-0.0546,0.988,-59.841,-535.626,9692.28,False,0.0,-0.026781299999999997,0.48461400000000004
1,0.233,0.039,1.0624,1112.9445,-76.518,10057.212,False,0.055647225,0.0,0.5028606
2,0.1792,-0.0123,0.9796,1327.9470000000001,-91.233,9908.1,False,0.06639735000000001,0.0,0.49540500000000004
3,0.2976,-0.0117,0.9469,1725.8242500000001,-97.119,9753.347249999999,False,0.0862912125,0.0,0.4876673624999999
4,0.4074,-0.0479,0.9881,2179.9782,-171.675,9741.329999999998,False,0.10899891,-0.008583750000000001,0.4870664999999999
5,0.4882,0.0603,1.0497,3149.7948,53.758799999999994,9862.385400000001,False,0.15748974000000002,0.0,0.49311927000000005
6,0.491,-0.0387,1.0534,3655.9908000000005,-98.68859999999998,9844.7274,False,0.18279954000000004,0.0,0.49223637
7,0.5058,-0.0314,1.0314,4296.780000000001,-136.1628,9946.359,False,0.21483900000000003,-0.00680814,0.49731795
8,0.5275,-0.0033,1.0086,4747.8438,-119.68200000000002,10067.4144,False,0.23739218999999998,-0.005984100000000001,0.5033707199999999
9,0.5123,-0.0744,1.0413,4953.6576000000005,-171.67499999999998,10171.7928,False,0.24768288000000002,-0.00858375,0.50858964
10,0.3558,-0.011,1.0761,4693.8888,-311.5656,10223.589600000001,False,0.23469443999999998,-0.015578280000000002,0.51117948
11,0.3714,-0.022,1.0671,4459.2336000000005,-278.8002,10250.469000000001,False,0.22296168000000002,-0.013940010000000001,0.5125234500000001
12,0.3624,0.0153,0.8832,4177.8828,-187.17479999999998,9959.7006,False,0.20889414,-0.009358739999999999,0.49798503
13,0.2488,-0.0971,1.0103,3631.0733999999998,-371.2104,9963.036,False,0.18155367,-0.01856052,0.4981518
14,0.1775,0.0211,0.9376,2974.1958000000004,-183.8394,9759.5766,False,0.14870979,-0.00919197,0.48797883000000003
15,0.0058,-0.0147,1.0754,2287.4957999999997,-191.0988,9758.2032,False,0.11437478999999999,-0.009554940000000001,0.48791016
16,-0.0511,0.0401,0.9605,1458.5507999999998,-69.25860000000003,9549.054,False,0.07292753999999999,0.0,0.4774527
17,-0.129,-0.0125,1.0051,494.424,-123.80220000000001,9788.2218,False,0.0247212,-0.00619011,0.48941109
18,-0.2333,-0.0858,0.9679,-451.4562000000001,-101.6316,9705.033,False,-0.022572810000000006,-0.0050815800000000005,0.48525165
19,-0.2875,-0.0146,1.0412,-1363.7862,-171.675,9908.2962,False,-0.06818931,-0.008583750000000001,0.49541481000000004
