time_step,ax_g,ay_g,az_g
0,0.0776,-0.0267,0.9253
1,0.0354,-0.0092,0.9335
2,0.2395,-0.0581,1.0359
3,0.2732,0.0530,0.9616
4,0.3798,-0.0508,1.0701
5,0.4074,-0.0063,0.8996
6,0.4155,0.0285,0.9292
7,0.5181,0.0316,0.9908
8,0.5059,-0.0140,0.9715
9,0.4783,-0.0062,1.0518
10,0.4748,-0.1137,1.1314
11,0.4074,0.0074,1.0062
12,0.3414,0.1098,0.9466
13,0.3197,0.0100,0.9821
14,0.2926,0.0255,0.9555
15,0.1057,0.0036,0.9699
16,0.0405,0.0149,0.9483
17,-0.1000,0.0083,1.0507
18,-0.2518,-0.0429,1.0057
19,2.7236,0.0508,0.9981
20,-0.4632,0.0052,0.9862
21,-0.4411,-0.0372,1.0464
22,-0.3993,-0.0356,1.0541
23,-0.5328,-0.0839,1.0118
24,-0.4824,-0.0535,1.0522
25,-0.4653,-0.0134,0.8788
26,-0.4147,0.0127,0.9498
27,-0.4115,-0.0651,1.0201
28,-0.2438,0.0614,1.0194
29,2.8188,0.0103,0.9331
30,-0.1604,0.0531,0.9581
31,-0.0280,-0.0399,1.0005
32,0.0698,-0.0020,0.9238
33,0.1814,0.1136,0.9840
34,0.2626,-0.0331,1.1066
35,0.2987,-0.0191,0.9918
36,0.4354,-0.0708,1.0333
37,0.5222,-0.0149,0.9636
38,0.4865,0.0092,1.0638
39,0.5144,0.0041,0.8894
40,0.5281,0.0306,0.9282
41,0.4560,0.0195,0.9856
42,0.4626,0.0343,0.9335
43,0.3830,0.0321,0.9730
44,0.2435,-0.0088,1.0388
45,0.2187,0.0215,1.0578
46,0.1401,-0.0056,0.9606
47,-0.0279,-0.0079,1.0475
48,-0.1409,0.0492,1.0187
49,-0.1626,0.0526,0.9897
50,-0.3660,0.0737,1.0170
51,-0.3464,0.0030,0.8796
52,-0.4446,-0.0261,0.9559
53,-0.4701,0.0523,0.9826
54,-0.4190,0.0257,1.0591
55,-0.4830,0.0667,1.0997
56,-0.4943,0.0472,1.0234
57,-0.4200,-0.1090,1.0672
58,-0.4837,-0.0478,0.9540
59,-0.3498,-0.0117,0.9223
60,-0.2941,-0.0619,1.0015
61,-0.1408,-0.0069,0.9895
62,-0.1261,0.0049,0.9766
63,0.0290,-0.0213,0.9937
64,0.1116,0.0265,1.0324
65,0.2527,-0.0348,0.9695
66,0.3272,-0.0038,1.0583
67,0.3253,-0.0379,1.0350
68,0.4107,-0.0420,0.9750
69,0.4660,0.0018,1.1317
70,0.4350,0.0725,0.9872
71,0.5430,-0.0383,1.0602
72,0.5369,0.0018,1.0068
73,0.4342,-0.0273,1.0010
74,0.4022,0.0772,1.0035
75,0.3192,0.0304,1.0396
76,0.1244,0.0012,0.9868
77,0.2640,0.0026,1.0040
78,0.1234,-0.0237,0.9516
79,-0.0223,0.0328,1.0300
80,-0.2075,0.1235,0.9630
81,-0.2546,0.0405,0.9726
82,-0.2876,-0.0492,1.0154
83,-0.4518,0.1159,0.9779
84,-0.4441,0.0229,1.0606
85,-0.4300,0.0223,0.9399
86,-0.6048,0.0083,0.9489
87,-0.5038,-0.0347,0.9571
88,-0.4921,-0.0551,1.0360
89,-0.4480,-0.0387,1.0356
90,-0.4351,-0.0750,1.0165
91,-0.2898,-0.0126,0.9955
92,-0.2703,0.0728,1.0096
93,-0.1076,-0.0416,0.9373
94,-0.1090,0.0082,0.9729
95,0.0207,0.0014,1.0580
96,0.1309,0.0190,1.0569
97,3.2781,0.0869,1.0915
98,0.2586,0.0949,1.1245
99,0.4333,0.0502,1.0117
100,0.4319,-0.0630,0.8695
101,3.4581,0.0311,0.9643
102,0.4968,-0.0674,0.9596
103,3.5068,0.0234,1.0305
104,0.4946,-0.0259,1.0111
105,0.3452,-0.0202,0.9119
106,0.3008,0.0516,0.9916
107,0.3088,0.0686,1.0185
108,0.2102,-0.0717,0.9510
109,0.0720,-0.0623,1.1175
110,0.1095,-0.0282,1.1274
111,-0.0794,-0.0061,1.0418
112,-0.1155,-0.0431,1.0313
113,-0.2474,-0.0227,0.9689
114,-0.4242,-0.0283,0.9791
115,-0.3906,-0.0796,0.9793
116,-0.5246,0.0491,1.0419
117,-0.4384,0.0275,1.0467
118,-0.5052,0.0349,0.9483
119,-0.4260,0.0498,1.0609
120,-0.4901,0.0124,1.1028
121,-0.4217,-0.0952,0.9170
122,2.6691,-0.0394,1.0143
123,-0.2367,0.1377,0.9985
124,-0.1861,0.0269,0.9538
125,-0.0315,-0.0079,0.9748
126,0.0846,-0.0293,0.9742
127,0.1005,-0.1013,1.0637
128,0.2267,0.0336,0.9403
129,0.2729,-0.0191,1.0680
130,0.3377,-0.0716,1.0823
131,0.4227,-0.0313,1.0063
132,0.5163,0.0312,1.0153
133,0.4468,-0.0440,0.8964
134,0.5057,-0.0364,1.0353
135,0.5194,-0.0558,1.0467
136,0.3829,-0.0424,1.0191
137,0.2987,0.0008,0.9221
138,0.3183,0.0855,1.0696
139,0.2038,-0.0295,0.9736
140,0.1443,-0.1016,1.0615
141,0.0987,-0.0337,0.9992
142,-0.0460,0.0434,0.9883
143,-0.1108,-0.0993,1.0237
144,-0.2161,-0.0367,1.0199
145,-0.3222,0.0000,0.9518
146,-0.4375,0.1027,1.0389
147,-0.3466,0.0838,0.9588
148,-0.4564,0.0393,0.9770
149,-0.4370,0.0127,1.0367
150,2.4783,0.0140,1.0032
151,-0.5858,0.0143,1.0128
152,-0.4404,0.0140,0.9918
153,-0.3648,0.0694,0.9303
154,-0.3098,0.0492,1.0052
155,-0.1955,-0.0504,1.0107
156,-0.0776,0.1152,1.0549
157,-0.0189,0.0185,0.9985
158,0.0852,-0.0042,0.9304
159,0.1836,-0.0029,0.9188
160,0.2605,-0.0138,1.0408
161,0.2642,0.0192,1.0235
162,0.4119,-0.0048,0.9987
163,0.4587,0.0347,0.9305
164,0.4581,0.0577,1.0325
165,0.5286,-0.0055,0.9261
166,0.3783,0.0436,1.0791
167,0.4871,0.0159,0.9915
168,0.3945,-0.0967,1.0488
169,3.2883,0.0735,1.0881
170,0.2447,-0.0116,1.0608
171,0.1586,0.0553,1.0466
172,0.0386,0.0479,1.0153
173,-0.0080,0.0052,0.9729
174,-0.0996,-0.0493,0.9746
175,-0.2203,0.0881,0.9742
176,-0.2512,0.0627,0.9428
177,-0.3753,0.0345,0.9899
178,-0.3985,-0.0023,0.9084
179,-0.4068,0.0237,1.0066
180,-0.4652,0.0005,1.0117
181,-0.4733,-0.0378,1.0096
182,-0.5317,0.0281,1.0341
183,-0.4803,0.0156,0.9883
184,-0.4047,-0.0831,1.0023
185,-0.2904,-0.0446,0.9458
