time_step,raw_x,raw_y,raw_z,smooth_x,smooth_y,smooth_z,is_outlier,norm_x,norm_y,norm_z
0,0.0776,-0.0267,0.9253,761.256,-261.927,9077.193,False,0.0380628,-0.013096350000000001,0.45385964999999995
1,0.0354,-0.0092,0.9335,554.265,-176.08950000000002,9117.414,False,0.02771325,-0.008804475,0.4558707
2,0.2395,-0.0581,1.0359,1152.675,-307.38000000000005,9465.669,False,0.05763375,-0.015369000000000002,0.47328345
3,0.2732,0.053,0.9616,1534.52925,-100.55250000000004,9457.57575,False,0.07672646250000001,-0.005027625000000002,0.4728787875
4,0.3798,-0.0508,1.0701,1972.791,-180.1116,9665.5968,False,0.09863954999999999,-0.009005580000000001,0.48327983999999996
5,0.4074,-0.0063,0.8996,2619.8586000000005,-140.08679999999998,9615.1734,False,0.13099293000000004,-0.0070043399999999995,0.48075867
6,0.4155,0.0285,0.9292,3365.6148000000003,-66.1194,9606.736799999999,False,0.16828074,0.0,0.48033683999999993
7,0.5181,0.0316,0.9908,3912.228,109.87200000000003,9518.250600000001,False,0.1956114,0.005493600000000001,0.47591253000000006
8,0.5059,-0.014,0.9715,4368.785400000001,-21.581999999999976,9537.6744,False,0.21843927000000005,0.0,0.47688372
9,0.4783,-0.0062,1.0518,4562.0424,65.9232,9501.7698,False,0.22810212000000002,0.0,0.47508849
10,0.4748,-0.1137,1.1314,4694.281199999999,-144.79559999999998,9956.5614,False,0.23471405999999997,-0.007239779999999999,0.49782807
11,0.4074,0.0074,1.0062,4678.389,-186.19379999999995,10107.635400000001,False,0.23391945,-0.009309689999999997,0.5053817700000001
12,0.3414,0.1098,0.9466,4331.703600000001,-32.7654,10020.915,False,0.21658518000000004,0.0,0.5010457500000001
13,0.3197,0.01,0.9821,3966.3792000000008,14.322600000000032,10041.7122,False,0.19831896000000004,0.0,0.50208561
14,0.2926,0.0255,0.9555,3602.0358,76.518,9852.7716,False,0.18010179,0.0,0.49263858
15,0.1057,0.0036,0.9699,2877.8616,306.6606,9535.908599999999,False,0.14389308,0.01533303,0.47679542999999996
16,0.0405,0.0149,0.9483,2158.0038,321.37559999999996,9422.308799999999,False,0.10790018999999999,0.016068779999999998,0.47111543999999994
17,-0.1,0.0083,1.0507,1291.977,122.2326,9626.553,False,0.06459885,0.00611163,0.48132765
18,-0.2518,-0.0429,1.0057,170.69400000000005,18.4428,9672.8562,False,0.008534700000000003,0.0,0.48364281000000003
19,2.7236,0.0508,0.9981,4940.316,68.0814,9756.437399999999,False,0.24701579999999998,0.0,0.48782186999999994
20,-0.4632,0.0052,0.9862,3824.1342000000004,71.2206,9788.418,False,0.19120671000000003,0.0,0.4894209
21,-0.4411,-0.0372,1.0464,2879.2350000000006,-30.999599999999997,9980.890199999998,False,0.14396175000000003,0.0,0.4990445099999999
22,-0.3993,-0.0356,1.0541,2292.0084000000006,-117.13139999999999,9987.560999999998,False,0.11460042000000004,-0.005856569999999999,0.4993780499999999
23,-0.5328,-0.0839,1.0118,1740.6863999999994,-197.5734,9999.5292,False,0.08703431999999997,-0.009878669999999999,0.49997646000000007
24,-0.4824,-0.0535,1.0522,-4549.485600000001,-402.21,10105.6734,False,-0.22747428000000006,-0.0201105,0.50528367
25,-0.4653,-0.0134,0.8788,-4553.6058,-438.70320000000004,9894.954600000001,False,-0.22768029,-0.021935160000000002,0.49474773000000005
26,-0.4147,0.0127,0.9498,-4501.809000000001,-340.7994,9705.4254,False,-0.22509045000000005,-0.017039969999999998,0.48527127
27,-0.4115,-0.0651,1.0201,-4525.745400000001,-398.6784,9638.7174,False,-0.22628727000000004,-0.01993392,0.48193587
28,-0.2438,0.0614,1.0194,-3958.7273999999998,-113.5998,9653.6286,False,-0.19793637,-0.00567999,0.48268143
29,2.8188,0.0103,0.9331,2518.2270000000003,11.575800000000005,9419.9544,False,0.12591135,0.0,0.47099772
30,-0.1604,0.0531,0.9581,3116.4408,142.0488,9575.541000000001,False,0.15582204,0.00710244,0.47877705000000004
31,-0.028,-0.0399,1.0005,3875.1462,38.847600000000014,9675.0144,False,0.19375731000000002,0.0,0.48375072
