time_step,ax_g,ay_g,az_g
0,0.0787,-0.0001,0.8616
1,0.0430,0.0290,0.9997
2,0.1522,-0.0282,1.0474
3,3.3261,-0.0940,0.9800
4,0.3580,0.0076,1.0179
5,0.4412,-0.0241,0.9543
6,0.4889,0.0383,1.0114
7,0.4577,0.0264,0.9644
8,0.4322,-0.1186,0.9640
9,0.3978,0.0074,1.0292
10,3.4713,0.0725,0.9455
11,0.2985,0.0806,1.0064
12,0.2947,0.0109,0.8853
13,0.1368,-0.0099,1.1104
14,0.1394,0.0759,0.9502
15,0.1093,-0.0262,0.9697
16,-0.0055,0.0284,1.0999
17,-0.1077,-0.0307,0.9611
18,-0.2437,-0.0425,0.9310
19,-0.2969,0.0384,0.8664
20,-0.3048,0.0343,0.9467
21,-0.4354,0.0627,0.9314
22,-0.4329,0.0308,1.0181
23,-0.5168,0.0333,1.0539
24,-0.5395,0.0123,1.0492
25,-0.4474,-0.0577,1.0594
26,-0.4238,-0.0146,1.0749
27,-0.3799,-0.0033,0.9315
28,-0.3132,-0.0259,0.9617
29,-0.1141,0.0348,0.9593
30,-0.1710,0.0027,0.9637
31,-0.0997,-0.1077,1.0050
32,0.0309,0.0097,1.0124
33,0.1205,0.0272,0.9484
34,0.2817,-0.0049,1.0431
35,0.4012,-0.0587,1.0078
36,0.3265,0.0544,1.0413
37,0.4566,0.0192,0.9040
38,0.4523,0.0173,0.9650
39,0.5112,-0.0117,0.9846
40,0.4263,-0.0180,0.9925
41,0.4594,-0.0148,0.9740
42,0.4560,-0.0341,0.9926
43,0.4333,0.0031,1.0140
44,0.3436,-0.0323,0.8785
45,0.2420,0.0108,1.0093
46,0.0766,-0.0074,1.0746
47,0.0032,0.1497,0.9920
48,-0.1481,-0.0366,0.9925
49,-0.2040,-0.0009,0.9706
50,-0.2271,0.0402,0.9650
51,-0.2710,0.0102,1.0907
52,-0.3450,-0.0011,1.0292
53,-0.4089,0.0157,1.0748
54,-0.4584,0.0054,1.0062
55,-0.4991,0.0174,1.0292
56,-0.4960,0.0469,0.9747
57,-0.4738,0.0150,1.1761
58,-0.4467,0.0076,0.8830
59,-0.4140,-0.0470,0.9119
60,2.6902,0.0035,0.9768
61,-0.1992,0.0095,0.9978
62,-0.0511,-0.0361,0.9568
63,3.1272,-0.0064,1.0565
64,0.1766,-0.0081,1.0546
65,0.1742,-0.0264,0.9996
66,0.2915,0.0176,0.9733
67,0.3228,-0.1006,1.0617
68,0.4430,-0.0064,0.9699
69,0.4376,0.0167,1.0092
70,0.5447,-0.0098,1.0109
71,0.3922,0.0214,0.9872
72,0.5043,0.0649,0.9300
73,0.3447,0.0879,0.9910
74,0.4002,-0.0063,0.9791
75,0.3350,0.0423,0.9709
76,0.2950,0.0843,0.9821
77,0.2253,-0.0299,1.0793
78,-0.0120,0.0462,0.9627
79,-0.0377,0.0359,0.9411
80,-0.1314,-0.0539,1.0712
81,-0.2688,-0.1069,1.0145
82,-0.2612,-0.0720,1.0066
83,2.6219,-0.0947,1.0243
84,-0.5212,0.0363,1.0539
85,2.5402,-0.0087,1.0427
86,-0.4713,-0.0953,1.0520
87,-0.4247,-0.0052,1.0061
88,-0.4192,-0.0663,0.9785
89,-0.3685,-0.0056,1.0454
90,-0.3727,0.0033,0.9792
91,-0.2910,0.0520,0.9751
92,-0.2657,0.0122,1.0055
93,2.9190,-0.0299,0.9384
94,-0.0137,0.0036,1.0117
95,0.0775,-0.0023,0.9707
96,0.1619,-0.0621,0.9540
97,0.2439,0.0201,1.0918
98,0.3534,0.0001,0.9376
99,0.3005,-0.0183,0.9156
